****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 43x1117
Performing five EM steps to prime main algorithm
153 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12269.8	(delta): 0.581666
154 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12269.1	(delta): 0.646454
155 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12268.4	(delta): 0.693471
156 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12265.1	(delta): 3.35485
157 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12263.1	(delta): 1.94478
158 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12262.6	(delta): 0.556366
159 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12261.9	(delta): 0.646121
160 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12261.3	(delta): 0.656828
161 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12260.7	(delta): 0.606906
162 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12259.7	(delta): 0.950213
163 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12256.5	(delta): 3.1894
164 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12255.7	(delta): 0.830554
165 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12254.7	(delta): 0.9836
166 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12253.8	(delta): 0.861534
167 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12253.4	(delta): 0.415819
168 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12252.6	(delta): 0.849404
169 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12252	(delta): 0.58872
170 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12251.3	(delta): 0.639919
171 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12250.3	(delta): 1.00385
172 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12249.9	(delta): 0.398393
173 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12249.3	(delta): 0.684804
174 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12248.1	(delta): 1.1252
175 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12247.7	(delta): 0.427426
176 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12246.2	(delta): 1.53925
177 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12243.4	(delta): 2.76381
178 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12240.9	(delta): 2.47624
179 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12239.9	(delta): 1.05719
180 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12239.5	(delta): 0.366767
181 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12237.4	(delta): 2.12788
182 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12235.8	(delta): 1.61062
183 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12235.7	(delta): 0.0293262
184 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12235.7	(delta): 0.0226185
185 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12235.7	(delta): 0.0164555
186 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12235.7	(delta): 0.00781092
187 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12235.7	(delta): 0.00816725
188 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12235.4	(delta): 0.233579
189 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12235.4	(delta): 0.0160859
190 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12235.4	(delta): 0.00396652
191 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12235.4	(delta): 0.0166056
192 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12235.4	(delta): 0.00678554
193 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12235.4	(delta): 0.0107404
194 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12235.4	(delta): 0.0176246
195 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12235.4	(delta): 0.0272349
196 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12235.3	(delta): 0.0346557
