****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 43x1117
Performing five EM steps to prime main algorithm
220 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13215.1	(delta): 1.12843
221 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13214.6	(delta): 0.568547
222 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13214.3	(delta): 0.267684
223 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13214.3	(delta): 0.0469503
224 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13214.2	(delta): 0.0510934
225 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13214.2	(delta): 0.0514313
226 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13214.1	(delta): 0.0162793
227 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13214.1	(delta): 0.0468696
228 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13213.9	(delta): 0.167942
229 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13213.8	(delta): 0.111151
230 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13213.7	(delta): 0.109466
231 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13213.4	(delta): 0.287733
232 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13213.2	(delta): 0.195921
233 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13213.1	(delta): 0.106915
234 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13213.1	(delta): 0.019205
235 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13213.1	(delta): 0.0185219
236 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13213	(delta): 0.0277716
237 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13213	(delta): 0.0140383
238 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13213	(delta): 0.00544925
239 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13213	(delta): 0.0235682
240 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13213	(delta): 0.0103635
241 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13213	(delta): 0.0294375
242 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13212.9	(delta): 0.0289983
243 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13212.9	(delta): 0.0461436
244 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -13212.8	(delta): 0.0728192
245 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13212.7	(delta): 0.113218
246 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13212.5	(delta): 0.157602
247 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13212.4	(delta): 0.189822
248 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13212.2	(delta): 0.204368
249 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13212	(delta): 0.198982
250 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13211.8	(delta): 0.180515
251 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13211.6	(delta): 0.156675
252 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13211.2	(delta): 0.368058
253 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13210.9	(delta): 0.301298
254 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13210.9	(delta): 0.0459341
255 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13210.8	(delta): 0.0573615
256 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13210.8	(delta): 0.0379066
257 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13210.8	(delta): 0.000534097
258 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13210.8	(delta): 0.000309694
259 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13210.8	(delta): 0.00271692
260 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13210.8	(delta): 0.00480077
261 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13210.8	(delta): 0.00038866
262 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13210.8	(delta): 0.00225212
263 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13210.8	(delta): 0.00342776
264 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13210.8	(delta): 0.00223246
265 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13210.8	(delta): 0.00219047
266 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13210.8	(delta): 0.00168187
267 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -13210.8	(delta): 0.000969258
268 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -13210.8	(delta): 0.000973134
269 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -13210.8	(delta): 0.00097291
270 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13210.8	(delta): 0.0078661
271 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -13210.8	(delta): 0.00540438
272 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13210.8	(delta): 0.00552224
273 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13210.8	(delta): 0.0013567
274 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13210.8	(delta): 0.000443859
275 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13210.8	(delta): 0.000431675
276 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13210.8	(delta): 0.00612902
277 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13210.8	(delta): 0.00184564
278 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -13210.8	(delta): 0.00101081
279 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13210.7	(delta): 0.00285177
