****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 41x1060
Performing five EM steps to prime main algorithm
82 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11653.4	(delta): 0.362349
83 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11653	(delta): 0.337814
84 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11652.6	(delta): 0.386427
85 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11652.2	(delta): 0.393552
86 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11651.9	(delta): 0.370941
87 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11651.5	(delta): 0.341887
88 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11651.2	(delta): 0.344309
89 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11650.8	(delta): 0.360851
90 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11650.4	(delta): 0.371864
91 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11647.8	(delta): 2.59961
92 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11647.2	(delta): 0.640465
93 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11646.5	(delta): 0.720964
94 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11644.8	(delta): 1.73142
95 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11643.9	(delta): 0.870185
96 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11642.9	(delta): 0.942573
97 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11642.5	(delta): 0.456961
98 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11642	(delta): 0.451948
99 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11641.6	(delta): 0.469753
100 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11641.1	(delta): 0.445392
101 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11640.7	(delta): 0.392902
102 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11640.4	(delta): 0.371853
103 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11639.9	(delta): 0.406099
104 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11639.5	(delta): 0.482155
105 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11637.6	(delta): 1.82033
106 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11637.2	(delta): 0.457496
107 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11636.4	(delta): 0.77745
108 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11636	(delta): 0.390606
109 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11632.3	(delta): 3.74871
110 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11632.2	(delta): 0.118948
111 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11632.1	(delta): 0.0821635
112 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11631.9	(delta): 0.197596
113 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11631.2	(delta): 0.7175
114 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11631.1	(delta): 0.0941799
115 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11631	(delta): 0.0473921
116 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11631	(delta): 0.0458684
117 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11630.4	(delta): 0.607204
118 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11630.3	(delta): 0.0395599
119 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11630.3	(delta): 0.0347252
120 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11630.3	(delta): 0.0338258
121 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11630.2	(delta): 0.0338561
122 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11630.2	(delta): 0.0343767
123 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11629.9	(delta): 0.249334
124 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11629.8	(delta): 0.117657
125 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11629.7	(delta): 0.126379
126 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11629.7	(delta): 0.0316928
127 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11628.7	(delta): 0.989421
128 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11628.6	(delta): 0.0570034
129 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11628.5	(delta): 0.0750458
130 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11628.5	(delta): 0.0302648
131 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11628.5	(delta): 0.0341353
132 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11628.4	(delta): 0.0389799
133 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11628.4	(delta): 0.0796136
134 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11628.3	(delta): 0.0689959
135 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11628.2	(delta): 0.0808394
136 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11627.6	(delta): 0.583283
137 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11627.6	(delta): 0.0597315
138 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11627.4	(delta): 0.132597
139 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11627.1	(delta): 0.324374
140 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11626.9	(delta): 0.166862
141 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11626.9	(delta): 0.0671477
142 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11626	(delta): 0.835097
143 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11624.9	(delta): 1.1418
144 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11624.8	(delta): 0.104579
145 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11623.6	(delta): 1.18697
146 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11623.4	(delta): 0.160369
147 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11623.1	(delta): 0.321243
148 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11620.1	(delta): 3.06255
149 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11619.6	(delta): 0.453047
150 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11618.8	(delta): 0.786181
